,Datetime,Open,High,Low,Close,Volume
267,2024-07-31 14:00:00,230.18,231.44,229.65,231.18,2256138
268,2024-07-31 13:30:00,231.02,231.02,229.23,230.041,3100521
269,2024-07-31 13:00:00,231.45,232.25,230.82,231.01,2053546
270,2024-07-31 12:30:00,231.58,231.81,230.97,231.43,1829103
271,2024-07-31 12:00:00,231.117,231.98,230.7,231.6,2167748
272,2024-07-31 11:30:00,231.768,232.17,230.85,231.115,2833739
273,2024-07-31 11:00:00,230.825,232.1,230.64,231.747,3593441
274,2024-07-31 10:30:00,230.55,231.644,230.35,230.825,4450507
275,2024-07-31 10:00:00,233.495,234.68,230.22,230.5,8834698
276,2024-07-31 09:30:00,227.9,233.78,226.787,233.47,15376937
277,2024-07-31 09:00:00,224.82,228.1,224.22,227.91,482037
278,2024-07-31 08:30:00,225.95,249.38,220.845,224.83,264642
279,2024-07-31 08:00:00,224.94,227.45,222.62,226.0,461546
280,2024-07-31 07:30:00,224.82,225.78,224.72,225.4,109507
281,2024-07-31 07:00:00,225.09,225.55,223.61,224.86,254587
282,2024-07-31 06:30:00,224.75,225.2,224.37,225.1,51916
283,2024-07-31 06:00:00,225.35,225.5,223.6,224.75,82860
284,2024-07-31 05:30:00,224.99,225.4,224.99,225.37,19239
285,2024-07-31 05:00:00,224.86,225.39,224.8,225.0,37987
286,2024-07-31 04:30:00,224.89,225.27,224.27,225.03,69726
287,2024-07-31 04:00:00,227.37,227.37,224.64,224.8,118006
288,2024-07-30 19:30:00,224.2,225.0,224.15,224.99,128927
289,2024-07-30 19:00:00,223.65,224.2,223.02,224.15,70659
290,2024-07-30 18:30:00,223.09,223.89,222.89,223.655,83071
291,2024-07-30 18:00:00,221.9,223.16,221.65,223.07,129148
292,2024-07-30 17:30:00,221.765,222.62,221.65,221.92,134478
293,2024-07-30 17:00:00,221.9,318.203,169.978,221.76,130854
294,2024-07-30 16:30:00,221.11,310.902,169.978,221.85,344538
295,2024-07-30 16:00:00,222.62,260.01,219.4,221.025,7834289
296,2024-07-30 15:30:00,221.265,224.17,220.0,222.68,8677148
297,2024-07-30 15:00:00,221.32,221.84,220.68,221.27,4362774
298,2024-07-30 14:30:00,222.65,223.14,221.09,221.285,3951534
299,2024-07-30 14:00:00,223.39,223.81,222.16,222.675,3773317
300,2024-07-30 13:30:00,223.225,224.25,222.61,223.39,5438140
301,2024-07-30 13:00:00,220.22,223.25,220.01,223.22,5389044
302,2024-07-30 12:30:00,221.98,222.68,220.13,220.201,5371549
303,2024-07-30 12:00:00,223.09,223.789,221.3,221.98,6849485
304,2024-07-30 11:30:00,226.65,226.96,223.07,223.07,8010715
